[COORDINATES]
;Node,X-Coord,Y-Coord
0.0,-500.000,-500.000
1.0,-500.000,-497.597
2.0,-481.383,-495.675
3.0,-464.761,-496.636
5.0,-424.202,-490.870
6.0,-404.920,-488.467
7.0,-384.309,-487.506
8.0,-361.702,-484.623
9.0,-338.431,-483.181
10.0,-307.181,-480.778
11.0,-277.926,-478.856
12.0,-252.660,-478.856
13.0,-230.053,-477.895
14.0,-206.782,-474.531
15.0,-176.862,-470.207
16.0,-163.564,-470.207
17.0,-156.250,-460.596
18.0,-156.250,-444.258
19.0,-151.596,-425.997
20.0,-146.277,-405.815
21.0,-138.298,-383.710
22.0,-133.644,-360.644
23.0,-134.309,-337.578
24.0,-134.309,-309.707
25.0,-134.309,-288.083
26.0,-131.649,-263.575
27.0,-136.303,-240.029
28.0,-143.617,-218.885
29.0,-152.261,-194.378
30.0,-161.569,-166.987
31.0,-168.883,-143.921
32.0,-178.191,-117.492
33.0,-184.176,-100.673
34.0,-190.160,-74.724
35.0,-190.824,-48.294
36.0,-188.165,-23.306
37.0,-179.521,1.201
38.0,-171.543,27.150
39.0,-168.883,36.761
40.0,-162.899,58.866
41.0,-151.596,83.373
42.0,-180.186,91.543
43.0,-212.766,106.439
44.0,-248.005,121.816
45.0,-280.585,139.596
46.0,-305.851,160.740
47.0,-330.452,181.884
48.0,-357.048,205.430
49.0,-371.676,220.327
50.0,-358.378,227.054
51.0,-390.293,236.665
52.0,-408.245,246.276
53.0,-431.516,250.120
54.0,-457.447,246.276
55.0,-479.388,248.198
56.0,-498.670,265.017
57.0,-514.628,283.758
58.0,-530.585,307.304
59.0,-549.202,330.851
60.0,-564.495,350.072
61.0,-571.144,363.047
62.0,-564.495,376.502
63.0,-545.213,380.346
64.0,-505.984,-493.272
65.0,-501.995,-481.740
66.0,-503.989,-472.129
67.0,-498.005,-456.752
68.0,-497.340,-450.024
69.0,-492.021,-442.335
70.0,-486.702,-428.400
71.0,-481.383,-416.867
72.0,-476.064,-407.256
73.0,-466.090,-398.126
74.0,-466.090,-393.801
75.0,-467.420,-380.827
76.0,-465.426,-368.333
77.0,-460.771,-357.280
78.0,-455.452,-346.708
79.0,-460.106,-341.903
80.0,-451.463,-322.681
81.0,-442.819,-305.382
82.0,-441.489,-301.538
83.0,-444.814,-291.927
84.0,-462.766,-282.797
85.0,-464.761,-254.926
86.0,-462.101,-234.743
87.0,-469.415,-223.691
88.0,-480.718,-212.158
89.0,-509.309,-211.197
90.0,-521.941,-213.599
91.0,-550.532,-214.560
92.0,-564.495,-219.846
93.0,-502.660,-501.922
94.0,-518.617,-508.169
95.0,-563.830,-499.519
96.0,-605.053,-491.350
97.0,-645.612,-483.181
98.0,-685.505,-475.973
99.0,-716.090,-471.648
100.0,-745.346,-467.804
101.0,-769.282,-462.518
102.0,-803.856,-457.232
103.0,-839.761,-451.466
104.0,-874.335,-445.699
105.0,-896.941,-440.413
106.0,-912.234,-433.686
107.0,-941.489,-422.633
108.0,-974.069,-420.086
109.0,-1000.000,-407.256
110.0,-1038.564,-399.087
111.0,-1077.128,-392.840
112.0,-1097.074,-386.593
113.0,-1121.011,-378.904
114.0,-1123.005,-404.853
115.0,-1119.016,-426.958
116.0,-1105.718,-450.985
117.0,-1095.745,-473.090
118.0,-1092.420,-494.714
119.0,-1088.431,-521.144
120.0,-1081.782,-549.015
121.0,-1077.128,-572.561
122.0,-1072.473,-598.991
123.0,-1067.819,-614.368
124.0,-1083.777,-619.654
157.0,-989.362,-385.632
158.0,-980.053,-374.580
159.0,-972.739,-359.683
160.0,-965.426,-337.098
161.0,-960.106,-311.629
162.0,-958.112,-281.355
163.0,-957.447,-274.147
164.0,-940.160,-245.315
165.0,-933.511,-233.782
166.0,-926.197,-225.132
167.0,-922.872,-215.521
168.0,-918.883,-200.144
169.0,-904.255,-170.831
170.0,-898.936,-164.584
171.0,-887.633,-155.454
172.0,-877.660,-135.752
173.0,-863.697,-115.569
174.0,-858.378,-96.828
175.0,-855.718,-72.321
176.0,-863.032,-52.138
177.0,-871.676,-37.722
178.0,-877.660,-25.228
179.0,-884.973,-14.656
180.0,-894.947,-12.254
181.0,-912.234,-10.812
182.0,-918.883,-8.409
183.0,-924.202,-5.526
184.0,-930.851,18.501
185.0,-933.511,34.839
186.0,-938.165,43.969
187.0,-944.149,58.385
188.0,-946.144,73.282
189.0,-954.122,97.309
190.0,-964.761,131.908
191.0,-974.069,160.259
192.0,-983.378,185.440
193.0,-988.697,198.222
194.0,-992.686,206.872
195.0,-992.686,213.119
196.0,-998.670,215.521
197.0,-1017.952,227.054
198.0,-1024.601,237.626
199.0,-1019.947,257.328
200.0,-1019.282,262.614
201.0,-1049.202,264.536
202.0,-1055.186,277.030
203.0,-1072.473,285.199
204.0,-1103.723,299.135
205.0,-1115.691,300.577
206.0,-1131.649,301.538
4.0,-446.144,-492.311

[VERTICES]
;Link,X-Coord,Y-Coord

[LABELS]
;X-Coord,Y-Coord,Label,&,Anchor,Node
-455.707,-506.756,"""Central","Tank"""
-623.899,-192.471,"""Mercy's"""
-1073.230,-422.047,"""Intersection"""
-1140.752,-636.890,"""Wii","Yao"""
-1176.124,328.449,"""Niyamilu"""
-608.937,407.020,"""Sindiaya"""
-369.540,254.788,"""Kawegi"""

[BACKDROP]
DIMENSIONS,-1181.649,-669.654,-81.649,430.346
UNITS,None
FILE
OFFSET,0.00,0.00

